,Company,Origin,REF,ReviewDate,CocoaPercent,CompanyLocation,Rating,BeanType,BroadBeanOrigin
0,A. Morin,Agua Grande,1876.0,2016,63.0,France,3.75, ,Sao Tome
1,A. Morin,Kpime,1676.0,2015,70.0,France,2.75, ,Togo
2,A. Morin,Atsane,1676.0,2015,70.0,France,3.0, ,Togo
3,A. Morin,Akata,1680.0,2015,70.0,France,3.5, ,Togo
4,A. Morin,Quilla,1704.0,2015,70.0,France,3.5, ,Peru
5,A. Morin,Carenero,1315.0,2014,70.0,France,2.75,Criollo,Venezuela
6,A. Morin,Cuba,1315.0,2014,70.0,France,3.5, ,Cuba
7,A. Morin,Sur del Lago,1315.0,2014,70.0,France,3.5,Criollo,Venezuela
8,A. Morin,Puerto Cabello,1319.0,2014,70.0,France,3.75,Criollo,Venezuela
9,A. Morin,Pablino,1319.0,2014,70.0,France,4.0, ,Peru
10,A. Morin,Panama,1011.0,2013,70.0,France,2.75, ,Panama
11,A. Morin,Madagascar,1011.0,2013,70.0,France,3.0,Criollo,Madagascar
12,A. Morin,Brazil,1011.0,2013,70.0,France,3.25, ,Brazil
13,A. Morin,Equateur,1011.0,2013,70.0,France,3.75, ,Ecuador
14,A. Morin,Colombie,1015.0,2013,70.0,France,2.75, ,Colombia
15,A. Morin,Birmanie,1015.0,2013,70.0,France,3.0, ,Burma
16,A. Morin,Papua New Guinea,1015.0,2013,70.0,France,3.25, ,Papua New Guinea
17,A. Morin,Chuao,1015.0,2013,70.0,France,4.0,Trinitario,Venezuela
18,A. Morin,Piura,1019.0,2013,70.0,France,3.25, ,Peru
19,A. Morin,Chanchamayo Province,1019.0,2013,70.0,France,3.5, ,Peru
20,A. Morin,Chanchamayo Province,1019.0,2013,63.0,France,4.0, ,Peru
21,A. Morin,Bolivia,797.0,2012,70.0,France,3.5, ,Bolivia
22,A. Morin,Peru,797.0,2012,63.0,France,3.75, ,Peru
23,Acalli,"Chulucanas, El Platanal",1462.0,2015,70.0,U.S.A.,3.75, ,Peru
24,Acalli,"Tumbes, Norandino",1470.0,2015,70.0,U.S.A.,3.75,Criollo,Peru
25,Adi,Vanua Levu,705.0,2011,60.0,Fiji,2.75,Trinitario,Fiji
26,Adi,"Vanua Levu, Toto-A",705.0,2011,80.0,Fiji,3.25,Trinitario,Fiji
27,Adi,Vanua Levu,705.0,2011,88.0,Fiji,3.5,Trinitario,Fiji
28,Adi,"Vanua Levu, Ami-Ami-CA",705.0,2011,72.0,Fiji,3.5,Trinitario,Fiji
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370.0,2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370.0,2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador
31,Ah Cacao,Tabasco,316.0,2009,70.0,Mexico,3.0,Criollo,Mexico
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636.0,2011,75.0,Switzerland,3.75,Trinitario,Indonesia
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502.0,2010,75.0,Switzerland,2.75,Criollo,Madagascar
34,Akesson's (Pralus),"Monte Alegre, D. Badero",508.0,2010,75.0,Switzerland,2.75,Forastero,Brazil
35,Alain Ducasse,Trinite,1215.0,2014,65.0,France,2.75,Trinitario,Trinidad
36,Alain Ducasse,Vietnam,1215.0,2014,75.0,France,2.75,Trinitario,Vietnam
37,Alain Ducasse,Madagascar,1215.0,2014,75.0,France,3.0,Trinitario,Madagascar
38,Alain Ducasse,Chuao,1061.0,2013,75.0,France,2.5,Trinitario,Venezuela
39,Alain Ducasse,"Piura, Perou",1173.0,2013,75.0,France,2.5, ,Peru
40,Alexandre,"Winak Coop, Napo",1944.0,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador
41,Alexandre,"La Dalia, Matagalpa",1944.0,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
42,Alexandre,Tien Giang,1944.0,2017,70.0,Netherlands,3.5,Trinitario,Vietnam
43,Alexandre,"Makwale Village, Kyela",1944.0,2017,70.0,Netherlands,3.5,Forastero,Tanzania
44,Altus aka Cao Artisan,Momotombo,1728.0,2016,60.0,U.S.A.,2.75, ,Nicaragua
45,Altus aka Cao Artisan,Acopagro,1728.0,2016,60.0,U.S.A.,3.0, ,Peru
46,Altus aka Cao Artisan,CIAAB Coop,1732.0,2016,60.0,U.S.A.,2.5, ,Bolivia
47,Altus aka Cao Artisan,Villa Andina,1732.0,2016,60.0,U.S.A.,2.5, ,Peru
48,Altus aka Cao Artisan,Gruppo Salinas,1732.0,2016,60.0,U.S.A.,2.75, ,Ecuador
49,Altus aka Cao Artisan,Sur del Lago,1125.0,2013,60.0,U.S.A.,2.5, ,Venezuela
50,Altus aka Cao Artisan,Conacado,1125.0,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic
51,Altus aka Cao Artisan,Bolivia,1129.0,2013,80.0,U.S.A.,3.25, ,Bolivia
52,Altus aka Cao Artisan,Bolivia,1133.0,2013,60.0,U.S.A.,3.0, ,Bolivia
53,Altus aka Cao Artisan,Peru,1133.0,2013,60.0,U.S.A.,3.25, ,Peru
54,Amano,Morobe,725.0,2011,70.0,U.S.A.,4.0, ,Papua New Guinea
55,Amano,Dos Rios,470.0,2010,70.0,U.S.A.,3.75, ,Dominican Republic
56,Amano,Guayas,470.0,2010,70.0,U.S.A.,4.0, ,Ecuador
57,Amano,Chuao,544.0,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela
58,Amano,Montanya,363.0,2009,70.0,U.S.A.,3.0, ,Venezuela
59,Amano,"Bali, Jembrana",304.0,2008,70.0,U.S.A.,2.75, ,Indonesia
60,Amano,Madagascar,129.0,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar
61,Amano,Cuyagua,147.0,2007,70.0,U.S.A.,3.0, ,Venezuela
62,Amano,Ocumare,175.0,2007,70.0,U.S.A.,3.75,Criollo,Venezuela
63,Amatller (Simon Coll),Ghana,322.0,2009,70.0,Spain,3.0,Forastero,Ghana
64,Amatller (Simon Coll),Ecuador,327.0,2009,70.0,Spain,2.75, ,Ecuador
65,Amatller (Simon Coll),Ecuador,464.0,2009,85.0,Spain,2.75, ,Ecuador
66,Amatller (Simon Coll),Ghana,464.0,2009,85.0,Spain,3.0,Forastero,Ghana
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145.0,2013,72.0,Peru,3.25, ,Peru
68,Amazona,"Bellavista Gran Pajeten, San Martin",1145.0,2013,73.0,Peru,3.5,Trinitario,Peru
69,Ambrosia,Belize,1494.0,2015,64.0,Canada,3.0,Trinitario,Belize
70,Ambrosia,Madagascar,1494.0,2015,66.0,Canada,3.25,Trinitario,Madagascar
71,Ambrosia,Dominican Republic,1498.0,2015,75.0,Canada,3.25, ,Dominican Republic
72,Ambrosia,Papua New Guinea,1498.0,2015,63.0,Canada,3.25, ,Papua New Guinea
73,Ambrosia,Venezuela,1498.0,2015,70.0,Canada,3.25, ,Venezuela
74,Ambrosia,Peru,1498.0,2015,68.0,Canada,3.5, ,Peru
75,Amedei,"Piura, Blanco de Criollo",979.0,2012,70.0,Italy,3.75, ,Peru
76,Amedei,Porcelana,111.0,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela
77,Amedei,Nine,111.0,2007,75.0,Italy,4.0,Blend, 
78,Amedei,Chuao,111.0,2007,70.0,Italy,5.0,Trinitario,Venezuela
79,Amedei,Ecuador,123.0,2007,70.0,Italy,3.0,Trinitario,Ecuador
80,Amedei,Jamaica,123.0,2007,70.0,Italy,3.0,Trinitario,Jamaica
81,Amedei,Grenada,123.0,2007,70.0,Italy,3.5,Trinitario,Grenada
82,Amedei,Venezuela,123.0,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela
83,Amedei,Madagascar,123.0,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar
84,Amedei,Trinidad,129.0,2007,70.0,Italy,3.5,Trinitario,Trinidad
85,Amedei,Toscano Black,170.0,2007,63.0,Italy,3.5,Blend, 
86,Amedei,Toscano Black,40.0,2006,70.0,Italy,5.0,Blend, 
87,Amedei,Toscano Black,75.0,2006,66.0,Italy,4.0,Blend, 
88,AMMA,Catongo,1065.0,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil
89,AMMA,"Monte Alegre, 3 diff. plantations",572.0,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil
90,AMMA,"Monte Alegre, 3 diff. plantations",572.0,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil
91,AMMA,"Monte Alegre, 3 diff. plantations",572.0,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil
92,AMMA,"Monte Alegre, 3 diff. plantations",572.0,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil
93,Anahata,Elvesia,1259.0,2014,75.0,U.S.A.,3.0, ,Dominican Republic
94,Animas,Alto Beni,1852.0,2016,75.0,U.S.A.,3.5, ,Bolivia
95,Ara,Madagascar,1375.0,2014,75.0,France,3.0,Trinitario,Madagascar
96,Ara,Chiapas,1379.0,2014,72.0,France,2.5, ,Mexico
97,Ara,Equateur,1379.0,2014,75.0,France,2.75, ,Ecuador
98,Ara,Trincheras,1379.0,2014,75.0,France,3.0, ,Venezuela
99,Arete,San Juan,1724.0,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad
100,Arete,Kokoa Kamili,1724.0,2016,70.0,U.S.A.,3.75, ,Tanzania
101,Arete,Tien Giang,1900.0,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam
102,Arete,Hacienda Victoria,1904.0,2016,70.0,U.S.A.,3.25, ,Ecuador
103,Arete,Costa Esmeraldas,1904.0,2016,70.0,U.S.A.,3.25, ,Ecuador
104,Arete,Lachua,1904.0,2016,70.0,U.S.A.,3.5, ,Guatemala
105,Arete,Rugoso,1904.0,2016,70.0,U.S.A.,3.75, ,Nicaragua
106,Arete,"La Masica, FHIA",1908.0,2016,70.0,U.S.A.,3.5, ,Honduras
107,Arete,"Coto Brus, Terciopelo",1908.0,2016,70.0,U.S.A.,4.0, ,Costa Rica
108,Arete,Phantom,1924.0,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru
109,Arete,Elvesia,1928.0,2016,70.0,U.S.A.,3.75, ,Dominican Republic
110,Arete,Matasawalevu,1928.0,2016,70.0,U.S.A.,3.25, ,Fiji
111,Arete,Lam Dong,1928.0,2016,73.0,U.S.A.,3.25, ,Vietnam
112,Arete,Fazenda Camboa,1534.0,2015,70.0,U.S.A.,3.5, ,Brazil
113,Arete,Nacional,1534.0,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru
114,Arete,"Puerto Quito, heirloom",1534.0,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador
115,Arete,Oko Caribe,1598.0,2015,70.0,U.S.A.,3.5, ,Domincan Republic
116,Arete,Maya Mountain,1598.0,2015,70.0,U.S.A.,3.75,Trinitario,Belize
117,Arete,Chuno,1598.0,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
118,Arete,Fazenda Camboa,1602.0,2015,75.0,U.S.A.,2.75, ,Brazil
119,Arete,Guatemala,1602.0,2015,70.0,U.S.A.,3.25, ,Guatemala
120,Arete,Camino Verde,1602.0,2015,75.0,U.S.A.,3.5, ,Ecuador
121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193.0,2013,72.0,U.K.,3.25,Trinitario,Trinidad
122,Artisan du Chocolat,"Colombia, Casa Luker",947.0,2012,72.0,U.K.,3.75, ,Colombia
123,Artisan du Chocolat,Haiti,729.0,2011,72.0,U.K.,4.0, ,Haiti
124,Artisan du Chocolat,Panama,745.0,2011,72.0,U.K.,2.75, ,Panama
125,Artisan du Chocolat,Venezuela,486.0,2010,100.0,U.K.,1.75, ,Venezuela
126,Artisan du Chocolat,Jamaica,531.0,2010,72.0,U.K.,3.75,Trinitario,Jamaica
127,Artisan du Chocolat,Costa Rica,600.0,2010,72.0,U.K.,3.25, ,Costa Rica
128,Artisan du Chocolat,Ba Ria Vung Tau Province,600.0,2010,72.0,U.K.,3.25,Trinitario,Vietnam
129,Artisan du Chocolat,Bali,600.0,2010,72.0,U.K.,3.5, ,Indonesia
130,Artisan du Chocolat,"Ocumare, Venezuela",355.0,2009,75.0,U.K.,2.5,"Criollo, Trinitario",Venezuela
131,Artisan du Chocolat,Java,355.0,2009,72.0,U.K.,2.75,Trinitario,Indonesia
132,Artisan du Chocolat,Brazil Rio Doce,363.0,2009,72.0,U.K.,1.75, ,Brazil
133,Artisan du Chocolat,Madagascar,363.0,2009,80.0,U.K.,3.0,"Criollo, Trinitario",Madagascar
134,Artisan du Chocolat,Peru,363.0,2009,75.0,U.K.,3.0,Criollo,Peru
135,Artisan du Chocolat,Dominican Republic,363.0,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic
136,Artisan du Chocolat,Congo,300.0,2008,72.0,U.K.,3.75,Forastero,Congo
137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181.0,2013,72.0,U.K.,2.75,Trinitario,Colombia
138,Askinosie,Mababa,1780.0,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania
139,Askinosie,"Tenende, Uwate",647.0,2011,72.0,U.S.A.,3.75,Trinitario,Tanzania
140,Askinosie,Cortes,661.0,2011,70.0,U.S.A.,3.75,Trinitario,Honduras
141,Askinosie,Davao,331.0,2009,77.0,U.S.A.,3.75,Trinitario,Philippines
142,Askinosie,Xoconusco,141.0,2007,75.0,U.S.A.,2.5,Trinitario,Mexico
143,Askinosie,San Jose del Tambo,175.0,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador
144,Bahen & Co.,Houseblend,1474.0,2015,80.0,Australia,3.25, , 
145,Bahen & Co.,Papua New Guinea,1474.0,2015,70.0,Australia,3.5, ,Papua New Guinea
146,Bahen & Co.,Sambirano,995.0,2012,70.0,Australia,3.0,Trinitario,Madagascar
147,Bahen & Co.,Bahia,999.0,2012,70.0,Australia,2.5, ,Brazil
148,Bahen & Co.,Houseblend,999.0,2012,70.0,Australia,2.5,Blend, 
149,Bakau,"Bambamarca, 2015",1454.0,2015,70.0,Peru,2.75, ,Peru
150,Bakau,"Huallabamba, 2015",1454.0,2015,70.0,Peru,3.5, ,Peru
151,Bar Au Chocolat,Bahia,1554.0,2015,70.0,U.S.A.,3.5, ,Brazil
152,Bar Au Chocolat,Maranon Canyon,1295.0,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru
153,Bar Au Chocolat,Duarte Province,983.0,2012,70.0,U.S.A.,3.25, ,Dominican Republic
154,Bar Au Chocolat,Chiapas,983.0,2012,70.0,U.S.A.,3.5, ,Mexico
155,Bar Au Chocolat,Sambirano,983.0,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar
156,Baravelli's,single estate,955.0,2012,80.0,Wales,2.75, ,Costa Rica
157,Batch,"Dominican Republic, Batch 3",1840.0,2016,65.0,U.S.A.,3.5, ,Domincan Republic
158,Batch,Brazil,1868.0,2016,70.0,U.S.A.,3.75, ,Brazil
159,Batch,Ecuador,1880.0,2016,65.0,U.S.A.,3.25, ,Ecuador
160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948.0,2017,73.0,U.K.,3.0, ,Malaysia
161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948.0,2017,72.0,U.K.,3.25, ,Malaysia
162,Beehive,"Brazil, Batch 20316",1784.0,2016,80.0,U.S.A.,2.75, ,Brazil
163,Beehive,"Dominican Republic, Batch 31616",1784.0,2016,70.0,U.S.A.,2.75, ,Domincan Republic
164,Beehive,"Ecuador, Batch 31516",1784.0,2016,70.0,U.S.A.,2.75, ,Ecuador
165,Beehive,Ecuador,1788.0,2016,90.0,U.S.A.,2.75, ,Ecuador
166,Belcolade,Costa Rica,586.0,2010,64.0,Belgium,2.75, ,Costa Rica
167,Belcolade,Papua New Guinea,586.0,2010,64.0,Belgium,2.75, ,Papua New Guinea
168,Belcolade,Peru,586.0,2010,64.0,Belgium,2.75, ,Peru
169,Belcolade,Ecuador,586.0,2010,71.0,Belgium,3.5, ,Ecuador
170,Bellflower,"Kakao Kamili, Kilombero Valley",1800.0,2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
171,Bellflower,"Alto Beni, Palos Blanco",1804.0,2016,70.0,U.S.A.,3.25, ,Bolivia
172,Bellflower,"Oko Caribe, Duarte P.",1864.0,2016,70.0,U.S.A.,3.5, ,Domincan Republic
173,Belyzium,"Belize south, low fermentation",1768.0,2016,83.0,Germany,2.75,Trinitario,Belize
174,Belyzium,Belize south,1768.0,2016,78.0,Germany,3.0,Trinitario,Belize
175,Belyzium,Belize south,1768.0,2016,83.0,Germany,3.5,Trinitario,Belize
176,Benoit Nihant,Baracoa,1141.0,2013,74.0,Belgium,3.5,Trinitario,Cuba
177,Benoit Nihant,Chuao,1141.0,2013,74.0,Belgium,3.5,Criollo,Venezuela
178,Benoit Nihant,Cuyagua Village,1141.0,2013,74.0,Belgium,3.5,Criollo,Venezuela
179,Benoit Nihant,Rio Peripa H.,1141.0,2013,73.0,Belgium,4.0,Trinitario,Ecuador
180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757.0,2011,72.0,Belgium,4.0,Trinitario,Indonesia
181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773.0,2011,72.0,Belgium,3.75,Trinitario,Madagascar
182,Bernachon,Nature,797.0,2012,55.0,France,2.75, , 
183,Beschle (Felchlin),Madagascar,636.0,2011,64.0,Switzerland,3.0,Trinitario,Madagascar
